m_prompt1,m_prompt2,m_prompt3,references
Add validation for simultaneous configuration of both zookeeper and etcd as registry center,"Refactor YamlOrchestrationConfiguration to prevent configuring both zookeeper and etcd as registry center

Author: John Smith <johnsmith@gmail.com>",Throw exception for conflicting registry center configurations,Refactor orchestration yaml configuration.
Updated ServerAdmin command descriptions,"Added command line options for adding, removing, resetting and specifying distinguished name of server users.",Updated server admin commands description to include password prompt flag,GT-360 corrected usage text
"Refactored the code to remove unnecessary calculations of font height and leadingHere is the code diff:  diff --git a/Graph.java b/Graph.java
index 8eebddf..b2282fc 100644
--- a/Graph.java
+++ b/Graph.java
@@ -211,9 +211,6 @@ public class Graph {
                 float scaledHeight = (maxY - minRawY) * phaseY;
                 int valueCount = dataSet.getEntryCount();
                 int from = dataSet.getEntryIndex(minX < 0 ? 0 : minX, Float.NaN, Rounding.DOWN);
-                int to = Math.min(dataSet.getEntryIndex(maxX, Float.NaN, Rounding.UP) + 1, valueCount);
-                int diff = to - from;
-                int count = diff;
                 mRenderPaint.setColor(dataSet.getColor());
 
                 // draw the body
@@ -223,6 +220,9 @@ public class Graph {
                         final float x = pt.x;
                         final float y;
 
+                        int to = Math.min(dataSet.getEntryIndex(maxX, Float.NaN, Rounding.UP) + 1, valueCount);
+                        int diff = to - from;
+                        int count = diff;
                         if (count == 1) {
                             // we have a single value here
                             y = pt.y;
@@ -234,9 +234,6 @@ public class Graph {
                             int j = 0;
 
                             while (j < count) {
-                            int to = Math.min(dataSet.getEntryIndex(maxX, Float.NaN, Rounding.UP) + 1, valueCount);
-                            int diff = to - from;
-                            int count = diff;
                                 final Entry e = dataSet.getEntryForIndex(from + j);
 
                                 if (j == 0) {
 commit message for the diff: Simplified the logic to calculate the drawing pointsHere is the code diff:  diff --git a/SummaryStats_old.java b/SummaryStats_new.java
index 192b50e..15643d0 100644
--- a/SummaryStats_old.java
+++ b/SummaryStats_new.java
@@ -174,8 +174,8 @@ public class SummaryStats {
     public void newPhase() {
         if (mSeen > 0) {
             mTarStat.mSkew = mSkew1Sum / (mRawSumOfSquare * mSeen) * (float) Math.sqrt(mSeen) / (mSeen - 1);
+            float mku3 = mStdDev == 0 ? 0 : mSkew2Sum / (mRawSumOfSquare * mSeen) * mSeen;
             mTarStat.mExKur = mkus = mku3 - 3;
-            mTarStat.mExKur = mStdDev == 0 ? 0 : mkus / mStdDev;
         }
         mTarStat.mIterations = mSeen;
         mTarStat.mRawSum = mTotal;
 commit message for the diff: Removed redundant calculations to calculate mExKur",Fixed the calculation of font height and baseline position for QMUIQQFaceView,Removed unnecessary code that calculated the leading value of the font,remove leading
Add support for shuffling I16 vectors in BasicNodeFactory,Add support for shuffling I16 vectors in BasicNodeFactory,Added support for shuffling I16 vectors in the BasicNodeFactory class.,add LLVMShuffleI16VectorNode
Fix incorrect property name in BasicDataSourceConfiguration,"Fix incorrect method reference in BasicDataSourceConfiguration

Fix a bug in the `BasicDataSourceConfiguration` class where the `setTestOnReturn` method was mistakenly being called with the `isTestOnBorrow` value instead of the correct `isTestOnReturn` value. This commit corrects the method reference to use the correct value.

(cherry picked from commit e368596)",Fix configuration issue in database connection pool,"Fix DataSourceConfiguration isTestOnReturn()

Fix setTestOnReturn to use isTestOnReturn."
Fix handling of implicit_tests and discoverAssumedInputFiles in Package class,"Initialize new InputFiles for labels mentioned in rules

This change adds the functionality to create InputFile targets in the package for labels mentioned in rules that refer to unknown targets in the current package. It checks if the target already exists in the package and creates an InputFile target if it doesn't.",Refactor and optimize code in the Package class.,"Package perf: Avoid another copy and loop iteration. Instead, defer loop iteration over the presumably smaller set of new input files and implicit test suites.

RELNOTES: None
PiperOrigin-RevId: 248589531"
EventFiringWebDriver: Implement IME interactions.,Return options.ime() instead of throwing UnsupportedOperationException in EventFiringWebDriver.,EventFiringWebDriver: Fix UnsupportedOperationException in ime() method.,"Pass Options.ime() through to the wrapped driver.

It looks like the UnsupportedOperationException was added to every
implementing class of WebDriver when IME support was originally
introduced (62c3753fafe6c665c587734dc9c86a8d1ed1ecf4), but there doesn't
seem to be any reason why this shouldn't just delegate to the wrapped
driver."
Renamed method for clarity,Rename the `fizzbuzz` method to `fizzBuzz` in FizzBuzz.java file,[BUS-1345] Rename fizzbuzz method to fizzBuzz,Better naming convention
Refactored GraphUtil to improve performance and removed unused variables and dead code,"Optimized marking algorithm in GraphUtil

Here is the code diff:  diff --git a/ResultSetModel_old.java b/ResultSetModel_new.java
index 84e382c..ab260cc 100644
--- a/ResultSetModel_old.java
+++ b/ResultSetModel_new.java
@@ -518,7 +518,7 @@ public class ResultSetModel {
                 if (topAttr.getDataKind() == DBPDataKind.DOCUMENT || topAttr.getDataKind() == DBPDataKind.STRUCT) {
                     List<DBDAttributeBinding> nested = topAttr.getNestedBindings();
                     if (nested != null && !nested.isEmpty()) {
-                        attributes = nested.toArray(new DBDAttributeBinding[nested.size()]);
+                        attributes = nested.toArray(new DBDAttributeBinding[0]);
                         fillVisibleAttributes();
                     }
                 }
@@ -534,7 +534,7 @@ public class ResultSetModel {
         } else {
             DBDDataFilter prevFilter = dataFilter;
             this.dataFilter = createDataFilter();
-            updateDataFilter(prevFilter);
+            updateDataFilter(prevFilter, false);
         }
         this.visibleAttributes.sort(POSITION_SORTER);
 
@@ -863,13 +863,14 @@ public class ResultSetModel {
         return false;
     }
 
-    void updateDataFilter(DBDDataFilter filter) {
+    void updateDataFilter(DBDDataFilter filter, boolean metaChanged) {
         this.visibleAttributes.clear();
         Collections.addAll(this.visibleAttributes, this.attributes);
         for (DBDAttributeConstraint constraint : filter.getConstraints()) {
             DBDAttributeConstraint filterConstraint = this.dataFilter.getConstraint(constraint.getAttribute(), true);
-            if (filterConstraint == null) {
-                //log.warn(""Constraint for attribute ["" + constraint.getAttribute().getName() + ""] not found"");
+            if (filterConstraint == null || constraint.getVisualPosition() != filterConstraint.getVisualPosition()) {
+                // If visual position doesn't match then probably it is a wrong attribute.
+                // There can be multiple attributes with the same name in rs (in some databases)
                 continue;
             }
             if (constraint.getOperator() != null) {
@@ -883,12 +884,13 @@ public class ResultSetModel {
             filterConstraint.setOrderDescending(constraint.isOrderDescending());
             filterConstraint.setVisible(constraint.isVisible());
             filterConstraint.setVisualPosition(constraint.getVisualPosition());
-            if (filterConstraint.getAttribute() instanceof DBDAttributeBinding) {
+            DBSAttributeBase cAttr = filterConstraint.getAttribute();
+            if (cAttr instanceof DBDAttributeBinding) {
                 if (!constraint.isVisible()) {
-                    visibleAttributes.remove(filterConstraint.getAttribute());
+                    visibleAttributes.remove(cAttr);
                 } else {
-                    if (!visibleAttributes.contains(filterConstraint.getAttribute())) {
-                        DBDAttributeBinding attribute = (DBDAttributeBinding) filterConstraint.getAttribute();
+                    if (!visibleAttributes.contains(cAttr)) {
+                        DBDAttributeBinding attribute = (DBDAttributeBinding) cAttr;
                         if (attribute.getParentObject() == null) {
                             // Add only root attributes
                             visibleAttributes.add(attribute);
diff --git a/ResultSetViewer_old.java b/ResultSetViewer_new.java
index 4193fcb..6ccdb84 100644
--- a/ResultSetViewer_old.java
+++ b/ResultSetViewer_new.java
@@ -3265,7 +3265,7 @@ public class ResultSetViewer extends Viewer
                             }
 
                             if (dataFilter != null) {
-                                model.updateDataFilter(dataFilter);
+                                model.updateDataFilter(dataFilter, true);
                                 // New data filter may have different columns visibility
                                 redrawData(true, false);
                             }
 commit message for the diff: Fixed the issue with multiple columns having the same name.",Remove unnecessary creation of EconomicSet in GraphUtil.,Use a list to collect unmarked MultiGuardNodes
Add mapping for AnomalyRecord.Influencers.influencer_field_values,Add mapping for anomaly influencers in ElasticsearchMappings,Add mappings for AnomalyRecord.Influencers.influencer_field_values and Influencer.influencer_field_value,"Add Influencer.influencer_field_value to custom all field (elastic/elasticsearch#624)

Original commit: elastic/x-pack-elasticsearch@5aa98d84dcdefbf26f1aaf003f28e6a27f7dfb5c"
