zero_prompt1,zero_prompt2,zero_prompt3,references
Refactor: Add validation to prevent configuring both zookeeper and etcd as registry center,Refactor: Add validation to prevent configuring both zookeeper and etcd as the registry center,Fix: Added check to prevent configuration of both zookeeper and etcd as registry center,Refactor orchestration yaml configuration.
Updated ServerAdmin to display correct command descriptions.,Refactor WebSocket08FrameDecoder checkUTF8String method and update ServerAdmin command descriptions,Revised command descriptions in ServerAdmin class to clarify password prompt option usage.,GT-360 corrected usage text
#6155 Remove unnecessary code in QMUIQQFaceView,#6148 QQFaceView layout fix,#6147 Remove unnecessary code in QMUIQQFaceView,remove leading
Add support for shuffling I16 vectors during code generation.,Add support for shuffling I16 vectors in LLVMShuffleVectorNode,Add support for shuffling I16 vectors in LLVMShuffleVectorNode.,add LLVMShuffleI16VectorNode
"Fix incorrect method call in BasicDataSourceConfiguration

Fix typo in method call for setting testOnReturn in BasicDataSourceConfiguration. 

See gh-17022","Fix incorrect method call in BasicDataSourceConfiguration and TomcatDataSourceConfiguration

In BasicDataSourceConfiguration, the method call to setTestOnReturn was mistakenly set to isTestOnBorrow.

In TomcatDataSourceConfiguration, the method call to setTestOnReturn was also mistakenly set to isTestOnBorrow.

This commit corrects these method calls to setTestOnReturn.

See gh-17023","Fix incorrect setter usage in DataSourceConfiguration classes

This commit fixes an issue where the `testOnReturn` property was being set to the value of `testOnBorrow`, instead of `testOnReturn` as intended. This issue affected both the `BasicDataSourceConfiguration` and `TomcatDataSourceConfiguration` classes.","Fix DataSourceConfiguration isTestOnReturn()

Fix setTestOnReturn to use isTestOnReturn."
"Refactor code to optimize sorting of tests in Package class

Releates to #17203","Refactor InstallPluginCommand to disable usage of PosixPermission on Windows

Relates to #17201","Refactor InstallPluginCommand to disable the usage of PosixPermission on Windows

Relates to #17201","Package perf: Avoid another copy and loop iteration. Instead, defer loop iteration over the presumably smaller set of new input files and implicit test suites.

RELNOTES: None
PiperOrigin-RevId: 248589531"
"Refactor EventFiringWebDriver ImeHandler

PiperOrigin-RevId: 256545952","Refactor EventFiringWebDriver's ime() method

PiperOrigin-RevId: 256545951",Fix unsupported IME interactions in EventFiringWebDriver,"Pass Options.ime() through to the wrapped driver.

It looks like the UnsupportedOperationException was added to every
implementing class of WebDriver when IME support was originally
introduced (62c3753fafe6c665c587734dc9c86a8d1ed1ecf4), but there doesn't
seem to be any reason why this shouldn't just delegate to the wrapped
driver."
[FLINK-18656][code-style] Change method name to follow camel case convention,[FLINK-18659][code-style] Rename fizzbuzz method to fizzBuzz,[FLINK-18659][code] Rename fizzbuzz method to fizzBuzz,Better naming convention
Changed data type for unmarkedMultiGuards from EconomicSet to ArrayList.,Refactored GraphUtil to use ArrayList instead of EconomicSet for unmarkedMultiGuards. This improves performance as EconomicSet is not necessary in this context.,"Refactored the code in GraphUtil to use an ArrayList instead of EconomicSet for unmarkedMultiGuards, as EconomicSet was not necessary in this context.",Use a list to collect unmarked MultiGuardNodes
Add COPY_TO property to Influencer.influencer_field_value,Update Elasticsearch mappings to include copy_to field for influencer_field_value field in AnomalyRecord.Influencers and Influencer objects,Refactor Elasticsearch mappings to include copy_to in Influencer.influencer_field_value and AnomalyRecord.Influencers.influencer_field_values,"Add Influencer.influencer_field_value to custom all field (elastic/elasticsearch#624)

Original commit: elastic/x-pack-elasticsearch@5aa98d84dcdefbf26f1aaf003f28e6a27f7dfb5c"
