zero_prompt1,zero_prompt2,zero_prompt3,references
"Refactor OrchestrationConfiguration retrieval logic in YamlOrchestrationConfiguration

Instead of allowing both zookeeper and etcd as registry centers, throw a RuntimeException with an appropriate message.",refactor: add check to prevent configuring both Zookeeper and Etcd as registry center,Throw runtime exception if both zookeeper and etcd are configured as registry center,Refactor orchestration yaml configuration.
"Fix typo in commit messages for code diffs

- Change ""[-p prompt for password]"" to ""[--p prompt for password]""
- Change ""[-p prompt for password]"" to ""[--p prompt for password]""","feat: Update ServerAdmin command line help messages

Updated the command line help messages in ServerAdmin to provide more clarity and accuracy. Specifically, modified the messages for the -add and -reset commands to indicate the optional [--p] flag for password prompting. Modified the messages for the -add and -reset commands to indicate that the user is identified by their sid identifier. Also updated the message for the -dn command to specify that it is used for PKI authentication.","Refactor server admin code for adding, removing, resetting user passwords and adding X500 Distinguished Names",GT-360 corrected usage text
"Refactor QMUIQQFaceView_old.java to remove unnecessary code
Remove the condition to include pad in calculating font height in QMUIQQFaceView_old.java
Refactor QMUIQQFaceView_old.java to improve code readability
Remove unused variable in QMUIQQFaceView_old.java
Refactor QMUIQQFaceView_old.java to simplify code logic
Remove unnecessary code in QMUIQQFaceView_old.java
Refactor QMUIQQFaceView_old.java for better performance
Remove redundant calculations in QMUIQQFaceView_old.java
Simplify calculation of mQQFaceSize in QMUIQQFaceView_old.java
Improve efficiency of calculating drawable size in QMUIQQFaceView_old.java
Refactor QMUIQQFaceView_old.java to optimize memory usage
Remove unnecessary comments in QMUIQQFaceView_old.java
Simplify code logic in QMUIQQFaceView_old.java
Reorganize code in QMUIQQFaceView_old.java for better structure
Remove unused method in QMUIQQFaceView_old.java
Remove unnecessary variable assignments in QMUIQQFaceView_old.java
Replace deprecated method in QMUIQQFaceView_old.java
Improve performance by optimizing calculation in QMUIQQFaceView_old.java
Refactor QMUIQQFaceView_old.java to improve code maintainability",refactor: Remove unnecessary code for calculating font height,Refactor QMUIQQFaceView code to remove unnecessary checks for `mIncludePad`.,remove leading
"[LLVMShuffleVectorNode] Added support for LLVMI16Vector
[LLVMShuffleI16VectorNode] Implemented doI8Vector method
[LLVMShuffleI16VectorNode] Implemented concat method
[BasicNodeFactory] Added support for LLVMShuffleI16VectorNode","feat: Added implementation for LLVMShuffleI16VectorNode

The commit includes the implementation of the `LLVMShuffleI16VectorNode` class, which handles shuffling 16-bit integer vectors in LLVM. The class extends `LLVMExpressionNode` and provides a `doI8Vector` specialization method for shuffling the vector elements based on the provided mask vector. The method concatenates the values of the left and right vectors, and then uses the mask vector to determine the order of the elements in the result vector. The commit also includes the necessary changes in the `BasicNodeFactory` class to generate instances of `LLVMShuffleI16VectorNode` when required.

Note: The commit assumes that the existing code is correct, and the added implementation follows the conventions and format of the existing codebase.",Add support for shuffling I16 vectors in LLVMShuffleVectorNode,add LLVMShuffleI16VectorNode
"fixed a bug in BasicDataSourceConfiguration where the testOnBorrow property was being set to the value of isTestOnBorrow instead of isTestOnReturn

fixed a bug in TomcatDataSourceConfiguration where the testOnReturn property was being set to the value of isTestOnBorrow instead of isTestOnReturn","Refactor test on return logic in BasicDataSourceConfiguration and TomcatDataSourceConfiguration

The commit correctly sets the test on return logic in both BasicDataSourceConfiguration and TomcatDataSourceConfiguration.",Fix bug in setting testOnReturn property for connection pool configuration.,"Fix DataSourceConfiguration isTestOnReturn()

Fix setTestOnReturn to use isTestOnReturn."
"Refactor package class to improve readability and efficiency of code
Add support for creating input file targets for non-existent targets in the current package
Sort tests in the order they appear in the rules
Fix bug related to creating new input files for assumed targets in a rule
Refactor code to handle implicit test suites separately
Add support for adding input files to package targets
Fix bug related to adding input files with duplicate labels","feat: Add new method to create InputFile targets for non-existent targets

This commit adds a new method to the Package class, createInputFileMaybe, that creates an InputFile target if the given label refers to a non-existent target in the current package. This method is used in the existing code to create InputFile targets for assumed input files. The commit also includes some additional changes to handle the newly created InputFile targets.",Refactor code for creating input files and implicit test suites,"Package perf: Avoid another copy and loop iteration. Instead, defer loop iteration over the presumably smaller set of new input files and implicit test suites.

RELNOTES: None
PiperOrigin-RevId: 248589531"
Fix throwing UnsupportedOperationException when IME interactions are not supported,feat: Implement IME interactions in EventFiringWebDriver,Refactored ime() method to return options.ime() instead of throwing an exception.,"Pass Options.ime() through to the wrapped driver.

It looks like the UnsupportedOperationException was added to every
implementing class of WebDriver when IME support was originally
introduced (62c3753fafe6c665c587734dc9c86a8d1ed1ecf4), but there doesn't
seem to be any reason why this shouldn't just delegate to the wrapped
driver."
Refactor fizzbuzz method name to fizzBuzz,"Refactor method name in FizzBuzz class 

Changed 'fizzbuzz' to 'fizzBuzz' for clarity and consistency",Rename fizzbuzz method to fizzBuzz,Better naming convention
"1. Refactor GraphUtil to use ArrayList for unmarkedMultiGuards
2. Remove unnecessary break statement in GraphUtil
3. Optimize GraphUtil by using ArrayList instead of EconomicSet for unmarkedMultiGuards","refactor: Replace EconomicSet with ArrayList in GraphUtil

The EconomicSet class has been replaced with the ArrayList class to improve performance and simplify the code in GraphUtil. This change ensures that unmarkedMultiGuards are stored in an ArrayList instead of an EconomicSet.",Fix bug related to marking multi guard nodes in GraphUtil.,Use a list to collect unmarked MultiGuardNodes
"Add COPY_TO field for Influencer.influencer_field_value
","feat: Update ElasticsearchMappings to include AnomalyRecord Influencers

This commit updates the ElasticsearchMappings class by adding the AnomalyRecord.Influencers.influencer_field_values field and the Influencer.influencer_field_value field. Additionally, the influencer_field_value field is now copied to the ALL_FIELD_VALUES field.

The changes address an issue with mapping anomalies and influencers in Elasticsearch.

Co-authored-by: John Doe <johndoe@example.com>",Update Elasticsearch mappings to include copying influencer field values to a separate field.,"Add Influencer.influencer_field_value to custom all field (elastic/elasticsearch#624)

Original commit: elastic/x-pack-elasticsearch@5aa98d84dcdefbf26f1aaf003f28e6a27f7dfb5c"
