z_prompt1,z_prompt2,z_prompt3,references
"""Added runtime exception to prevent configuration of both zookeeper and etcd as registry center in YamlOrchestrationConfiguration""",feat: add validation to prevent dual registry center configuration in YamlOrchestrationConfiguration,Added validation to prevent both zookeeper and etcd configuration in getOrchestrationConfiguration method.,Refactor orchestration yaml configuration.
Update command line flag description in ServerAdmin class,feat(ServerAdmin): update option flag for password prompt in help messages,Updated command-line syntax for password prompt option in help messages,GT-360 corrected usage text
"Commit message: ""Remove padding calculation in font height and baseline calculation""",feat: remove padding dependency for font height in QMUIQQFaceView,Removed padding inclusion in fontHeight and mFirstBaseLine calculations in QMUIQQFaceView class,remove leading
"""Added support for I16 vector shuffling in LLVMShuffleVectorNode and BasicNodeFactory""","feat: add shuffle functionality for I16Vector in LLVM nodes

This commit introduces the ability to shuffle LLVMI16Vectors within the LLVMShuffleVectorNode class and updates the BasicNodeFactory class to create instances of the new LLVMShuffleI16VectorNode.",Added support for shuffling i16 vectors in LLVMShuffleVectorNode,add LLVMShuffleI16VectorNode
Fixed incorrect method call for setting 'TestOnReturn' property in both Basic and Tomcat DataSource Configurations.,fix: correct method call for setTestOnReturn in DataSourceConfiguration,Fixed incorrect method call for setting TestOnReturn in BasicDataSourceConfiguration and TomcatDataSourceConfiguration,"Fix DataSourceConfiguration isTestOnReturn()

Fix setTestOnReturn to use isTestOnReturn."
"""Refactored Package class to handle input files more efficiently. Now storing input files in a Map for quicker access and breaking up for-loops for readability. Also added null-check for labels before creating an InputFile. Improved handling of implicit test suites.""","feat: refactor package sorting and input file addition

Refactor package class to simplify rule sorting and input file addition. Created an independent method to handle creation of new InputFiles and updated handling of implicit test suites. Additionally, restructured sorting and addition of rules and InputFiles to ensure lists and maps are updated correctly.",Refactored code to dynamically create and add input files during rule processing in Package class,"Package perf: Avoid another copy and loop iteration. Instead, defer loop iteration over the presumably smaller set of new input files and implicit test suites.

RELNOTES: None
PiperOrigin-RevId: 248589531"
"""Implemented IME interactions support in EventFiringWebDriver""",feat: Update EventFiringWebDriver to support IME interactions,Updated IME handler to support IME interactions,"Pass Options.ime() through to the wrapped driver.

It looks like the UnsupportedOperationException was added to every
implementing class of WebDriver when IME support was originally
introduced (62c3753fafe6c665c587734dc9c86a8d1ed1ecf4), but there doesn't
seem to be any reason why this shouldn't just delegate to the wrapped
driver."
"""Refactor method name from 'fizzbuzz' to 'fizzBuzz' for clarity and consistency in naming convention""",feat: Rename fizzbuzz method to fizzBuzz in FizzBuzz class,Renamed fizzbuzz method to fizzBuzz in FizzBuzz class,Better naming convention
"""Replaced EconomicSet with ArrayList for unmarkedMultiGuards in GraphUtil and removed unnecessary break statement""","feat: change type of unmarkedMultiGuards to ArrayList in GraphUtil

Switch the data type of 'unmarkedMultiGuards' from EconomicSet to ArrayList for improved performance in the GraphUtil class. Also eliminate an unnecessary 'break' statement for cleaner code.",Refactor EconomicSet to ArrayList and remove unnecessary break statement in GraphUtil,Use a list to collect unmarked MultiGuardNodes
"""Updated field references and added COPY_TO feature in ElasticsearchMappings""",feat(ElasticsearchMappings): update field paths and add copy_to option in Elasticsearch mapping configuration,Updated Elasticsearch mappings for 'Influencer' field,"Add Influencer.influencer_field_value to custom all field (elastic/elasticsearch#624)

Original commit: elastic/x-pack-elasticsearch@5aa98d84dcdefbf26f1aaf003f28e6a27f7dfb5c"
"""Added new constant for version V_0_18_6 and its reference in the switch case statement""",feat: Add Version V_0_18_6 to Version class,Added new version V_0_18_6 to Version class,add 0.18.6
"""Enhanced ExperimentalObjcLibrary class by adding import statements for ObjcProvider.DEFINE and ObjcCommon.ResourceAttributes. Also, modified some methods to include additional attributes like defines, deps, runtime_deps and setIntermediateArtifacts.""","feat: update experimental objc library

The ExperimentalObjcLibrary class has been updated to import new dependencies, enable the use of define attributes, and add a new ObjcProvider. Additional ruleContext attributes (like 'defines', 'deps', 'runtime_deps') have been added and a new method for creating an ObjcCommon instance was introduced.",Added defines support and updated dependency handling in ExperimentalObjcLibrary,"Add defines to experimental_objc_library.

--
MOS_MIGRATED_REVID=130424806"
"""Removed Version 2.4.0 from Version class""",feat: Remove V_2_4_0 version references in Version class,Removed version V_2_4_0 references from Version class,"Revert ""Added version 2.4.0 to Version""

This reverts commit 8c4aa75b0cc839d4c1ef77d79828f02c38d70199."
"""Updated method call to get full qualified procedure signature in PostgreCommandGrantPrivilege class""",feat: update method to get PostgreProcedure object name in PostgreCommandGrantPrivilege class,Updated method to fetch full qualified signature of PostgreProcedure,#10501 procedure/function with arguments names changed
"""Updated the RangeQueryBuilderTest to use UTC timezone for date time calculation""",feat: update RangeQueryBuilderTest to use UTC time zone in date calculations,Updated date calculations in RangeQueryBuilderTest to use UTC timezone,Tests: Using UTC time zone in RangeQueryBuilderTest to make forbidden apis checker happy
"""Updated boolean parsing method from valueOf to parseBoolean in both DefaultHomeFinder and GraalVMLocator classes""",feat: convert system variable string to boolean using parseBoolean method,Replace Boolean.valueOf with Boolean.parseBoolean for environment variables,Fix boxing warning
"""Added a debug option to display full current path in the Launcher class""",feat(Launcher): add option to display full current path in debug mode,Added option to display full current path in Launcher,"added a debug option to show the full path of the current directory.


git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@1606 71c3de6d-444a-0410-be80-ed276b4c234a"
"Commit messages:

1. Refactored `getDictionaryValues` function: improved code readability and added `Nullable` annotation to `preceedingKeys` parameter.
2. Removed redundant check of key pattern in `JDBCTable` where key pattern preparation was not necessary.
3. Modified logic involving key pattern and `searchInKeys` conditions in `JDBCTable`.
4. Improved handling for `bindValueObject` in `searchInKeys` conditions for `dbStat`.
5. Adjusted logic involving key pattern in `searchInDesc` conditions for `dbStat`.
6. In `GenericFilterValueEdit`, replaced hard-coded empty list input with a new boolean variable `isCheckedTable` in `loadMultiValueList`.
7. Refactored `mergeResultsWithData` in `GenericFilterValueEdit`: made it a separate function in the subclass for better management.
8. Updated `populateValues` to incorporate the new `mergeResultsWithData` function in `GenericFilterValueEdit`.","feat: Update JDBCTable and GenericFilterValueEdit classes

- Refactor 'getDictionaryValues' method for better parameter clarity
- Update keyPattern conditions and improve data handling
- Change 'loadMultiValueList' method to support mergeResultsWithData flag
- Allow DBDLabelValuePair data merging with results
- Update 'populateValues' method to incorporate the 'mergeResultsWithData' property",Refactor JDBCTable and GenericFilterValueEdit classes: update method signatures and improve string handling logic,#6367 Columns filter fix (search by numbers and strings)
"- Added StringUtils class to help with string manipulations
- Refactor MockHttpServletRequest to no longer replace null method and requestURI with empty strings
- Modified getRequestURL method to append requestURI only if it's a non-empty string
- Added test case in MockHttpServletRequestTests to validate getRequestURL behavior with null requestURI","feat: update null handling of properties in MockHttpServletRequest

The HttpServletRequest method and requestURI properties now accept null values. Imported StringUtils for additional functionality. Adjusted getRequestURL() to only append non-empty requestURI. Provided new test to validate changes.",Added StringUtils import and modified null checks for method and requestURI in MockHttpServletRequest,"Exclude null requestURI in MHSR.getRequestURL()

This commit undoes the changes made in ec5d81e78e and ensures that the
getRequestURL() method in MockHttpServletRequest does not include the
String ""null"" for a null requestURI by first checking if the requestURI
contains text before including it in the composed URL.

Issue: SPR-10643"
"1. Moved HotSpotGraphBuilderPluginsProvider to 'com.oracle.graal.hotspot.meta' package and added necessary imports.
2. Adjusted metaAccess retrieval in 'apply' method of InvocationPlugin for 'getClass' in Object.class.
3. Added registration for 'getValue' in StableOptionValue.class.
4. Changed visibility of HubGetClassNode constructor from 'protected' to 'public'.","feat: Update package in HotSpotGraphBuilderPluginsProvider and enhance plugin registration

The changes include modifying the package in HotSpotGraphBuilderPluginsProvider from 'com.oracle.graal.hotspot.replacements' to 'com.oracle.graal.hotspot.meta'. Added import for 'com.oracle.graal.hotspot.replacements' and 'com.oracle.graal.options'. In 'registerPlugins' method, adjusted the object creation of ConstantNode, and added new plugin registration for StableOptionValue.class. Also, made the constructor of HubGetClassNode to be public.",Updated package name in HotSpotGraphBuilderPluginsProvider and added new plugin for StableOptionValue. Made HubGetClassNode constructor public.,added graph builder plugin for StableOptionValue.getValue()
