m_prompt1,m_prompt2,m_prompt3,references
Prevent configuration of both zookeeper and etcd as registry centers in YamlOrchestrationConfiguration,"Ensure mutual exclusivity between etcd and zookeeper configurations

Throws a RuntimeException when both etcd and zookeeper configurations are provided, enforcing exclusive usage of one.

Related to issue #ShardingSphereXYZ (assuming an issue number for context)",Disallow simultaneous configuration of etcd and zookeeper in OrchestrationConfiguration,Refactor orchestration yaml configuration.
Update help text for the 'add' and 'reset' user commands.,"Below are the commit messages based on the provided code diffs:

1. Update copyright year in `StompSubProtocolHandler` and handle unexpected WebSocket message types.
```
Update copyright notice from 2002-2014 to 2002-2015 in StompSubProtocolHandler

Modify error handling to silently ignore unexpected WebSocket message types

Related to Issue: SPR-12728
```

2. Ensure leave messages are inserted and logged in `V1GroupManager`.
```
Insert leave message to MMS database in V1GroupManager

Add logging to capture failures when inserting leave messages

Resolves issue with leave message not being displayed locally
```

3. Revise warning message formatting to enhance clarity in `DexDiffDecoder`.
```
Improve readability of warning message in DexDiffDecoder

Surround the pre-generated dex mode warning message with line breaks for better log visibility

Refer to [tinker] documentation for guidance on using pre-generated dex mode
```

4. Comment out verbose debugging code in `WebSocket08FrameDecoder`.
```
Comment out unused UTF-8 debug logging code in WebSocket08FrameDecoder

Optimize performance by removing redundant logging

This completes the AutoBahn Test Suite 9 implementation
```

5. Correct command-line help text option formatting in `ServerAdmin`.
```
Fix command-line help text formatting in ServerAdmin

Update flag descriptions from '-p' to '--p' for password prompts

Improves clarity for users utilizing command-line options
```

These messages summarize the changes made in each diff and associate them with the purpose or the issue they are intended to solve. It is always good practice for commit messages to be clear, descriptive, and directly related to the content of the diff they accompany.",Update command line option descriptions in ServerAdmin,GT-360 corrected usage text
Optimize font height calculation in QMUIQQFaceView,Removed unnecessary leading space adjustments in QMUIQQFaceViewHere is the code diff:,Remove unnecessary addition of leading to font height in QQFaceView,remove leading
Add shuffle vector operation support for I16 LLVM vector types,"Commit messages for the provided diffs:

1. Simplify HotSpotLoweringProvider initialization and improve object zeroing with unrolling
```
Refactor HotSpotLoweringProvider for AArch64 and AMD64

- Import and utilize `HotSpotAllocationSnippets` in `AArch64HotSpotLoweringProvider` and `AMD64HotSpotLoweringProvider`.
- Simplify initialization process by passing `allocationSnippetTemplates` in the overridden `initialize` methods.
- Extract `fillMemoryAlignedUnrollable` method in `AllocationSnippets` to handle constant length array initialization with unrolled loops, improving zeroing performance.
```

2. Enhance MySQL insert statement handling in unit tests
```
Update ShardingInsertStatementValidator tests for MySQL support

- Replace generic `InsertStatement` instantiation with `MySQLInsertStatement` to better align with specific dialect requirements in the tests.
```

3. Enhance interoperability in WasmMemory with the use of cached libraries
```
Improve WasmMemory's interop type support and error handling

- Modify `WasmMemory.writeArrayElement` to utilize `CachedLibrary` for improved performance and type support.
- Replace direct type checks with `InteropLibrary` methods to handle number conversions.
- Throw `UnsupportedTypeException` with detailed information if an unsupported value type is provided.
```

4. Update LLVMFunctionDescriptor with a new memory tagging approach
```
Refine Function Pointer Tag handling in LLVMFunctionDescriptor

- Update `SULONG_FUNCTION_POINTER_TAG` with a different non-dereferencing tag value.
- Add assertions to ensure tag falls within the designated common handle memory space and not among dereferencable handles.
```

5. Implement support for 16-bit vector shuffling in LLVMShuffleVectorNode and related node factory
```
Add support for 16-bit integer shuffle vector operations

- Introduce `LLVMShuffleI16VectorNode` for handling shuffling of 16-bit integer vectors.
- Implement code generation for 16-bit integer shuffle in `BasicNodeFactory`, enabling new shuffle operations in LLVM bitcode execution.
```

Note that the generated commit messages are based on a best-effort interpretation of the code differences provided. They aim to summarize the changes concisely while providing enough context for reviewers and other developers to understand the intent behind the changes.",Add support for i16 vector shuffle operation in LLVM.,add LLVMShuffleI16VectorNode
"Correct incorrect mapping of `testOnReturn` property in data source configurations

Fixed an issue where `testOnReturn` was incorrectly mapped to `testOnBorrow` in both BasicDataSourceConfiguration and TomcatDataSourceConfiguration classes.","Fix incorrect method call setting testOnReturn property

Resolved issue where `setTestOnReturn` was erroneously set using the `isTestOnBorrow` method. Now correctly uses `isTestOnReturn` to align with the intended property settings for both BasicDataSource and TomcatDataSource configurations.

This ensures the correct testing behavior on connection return to the pool is implemented.",Fixed incorrect assignment of testOnReturn property in data source configurations,"Fix DataSourceConfiguration isTestOnReturn()

Fix setTestOnReturn to use isTestOnReturn."
"Refactor Package.Builder creation of implicit input files and test suites

- Optimize creation of InputFile targets during rule parsing
- Collect implicit test suites and input files separately before adding them
- Modify implicit test suites attribute only after all new input files are processed","Commit message for the ReflectionDataBuilder diff:

```
Optimize ReflectionDataBuilder to avoid initializing array types as reachable

Refactor the condition checks within ReflectionDataBuilder's loop for
processing types. Only initialize reflection data for array types if they
are already reachable, preventing non-reachable array types from being
initialized unnecessarily. Also, rename variable 'aType' to 'type' for clarity.
```

Commit message for the BuildView and SkylarkAspectsTest diff:

```
Ignore non-rule top-level targets when applying aspects

Update the aspect resolution logic in BuildView to skip processing of top-level
targets that are not instances of Rule. Enhance the SkylarkAspectsTest to cover
the scenario where an aspect is applied to a top-level file target, which should
result in no aspects being applied.
```

Commit message for the LibrariesToLinkCollector and CcLibraryConfiguredTargetTest diff:

```
Prevent duplicate error when linking symlinked shared libraries

Correct the LibrariesToLinkCollector to stop emitting erroneous duplicate library
linkage errors when multiple rules symlink to the same shared library. This change
ensures accurate detection of whether the libraries were built in different configurations.
Refactor related CcLibraryConfiguredTargetTest to streamline the test setup.
```

Commit message for the InstallPluginCommand diff:

```
Conditionally disable setting POSIX file permissions on Windows during plugin installation

Modify InstallPluginCommand to skip setting POSIX file permissions and file attributes
when installing plugins on Windows. This change ensures compatibility with the Windows
file system, which does not support POSIX-style permissions.
```

Commit message for the Package diff:

```
Refactor Package function to properly handle implicit test suites and discovered inputs

Modify the Package finalizeBuild function to separate collection of implicit test suites
and the creation of new InputFiles. Ensure InputFiles are added to the package and set
'$implicit_tests' attribute for test suites with empty 'tests' attribute. Improve label
processing to prevent duplicate creation of InputFiles.
```

Please note that the provided commit messages are somewhat generic because the context in which the changes are made is not entirely clear without further context provided by a project's history and possible related issues or feature requests.","Optimize Package.Builder for input file creation and test_suite implicit tests handling

Refactor `Package.Builder.build` to handle implicit test suite rules and the creation of
InputFiles separately. This prevents redundant `InputFile` instances from being created
and ensures that once an instance is created, it is immediately added to the package.","Package perf: Avoid another copy and loop iteration. Instead, defer loop iteration over the presumably smaller set of new input files and implicit test suites.

RELNOTES: None
PiperOrigin-RevId: 248589531"
Enable IME interactions in EventFiringWebDriver's options.,"The provided code diffs and related changes suggest the following commit messages for each update. These messages summarize the changes made to the respective files according to common commit message standards.

Commit message for the `RemoteWebDriver` change:
```
Remove debug print statement from RemoteWebDriver.findElement
```

Commit message for the `MediaCodecRenderer` change:
```
Remove unused getInputFormat and getOutputFormat methods in MediaCodecRenderer
```

Commit message for the `AbstractItem` change:
```
Change getConfigFile visibility from protected to public in AbstractItem
```

Commit message for the `FakeAdsRequest` change:
```
Remove unsupported setContinuousPlayback method from FakeAdsRequest
```

Commit message for the `EventFiringWebDriver` change:
```
Enable IME interactions in EventFiringWebDriver's ImeHandler
```

Remember that a good commit message often includes a short (less than 50 characters if possible) title/summary that explains **what** was changed and optionally, a body that explains **why** the change was made (which may include a ticket or issue number for reference). As a best practice, commit messages should use the imperative mood and be concise yet descriptive.",Implement IME interactions in EventFiringWebDriver options.,"Pass Options.ime() through to the wrapped driver.

It looks like the UnsupportedOperationException was added to every
implementing class of WebDriver when IME support was originally
introduced (62c3753fafe6c665c587734dc9c86a8d1ed1ecf4), but there doesn't
seem to be any reason why this shouldn't just delegate to the wrapped
driver."
Rename method for consistency with FizzBuzz naming convention,"Correct the camelCase in method name for consistency

Rename 'fizzbuzz' to 'fizzBuzz' in FizzBuzz class to align with proper camelCase naming convention.",Refactor method name to match camel case convention in FizzBuzz class,Better naming convention
"Refactor GraphUtil to use ArrayList for unmarkedMultiGuards and remove early break

Refine ResultSetModel: Optimize nested attributes array creation and add metaChanged parameter to updateDataFilter

Fix AbstractCollectorTestCase to discard unused return value in waitForNoBlocksOnNode

Cleanup in InliningUtil: Remove unused FrameState duplication logic","Commit Message 1:
```
Refactor GraphUtil to improve readability and efficiency

- Add comments to clarify the purpose of dead loop handling
- Use method references for tool::addToWorkList to increase code conciseness
```

Commit Message 2:
```
Improve ResultSetModel updates and attribute handling

- Optimize array allocation when converting nested attributes to DBDAttributeBinding
- Add 'metaChanged' parameter to 'updateDataFilter' to correctly handle updates with multiple columns of the same name
- Refactor constraints update logic to properly reflect attribute visibility
```

Commit Message 3:
```
Remove redundant return value in assertBusy usage

- Simplify 'waitForNoBlocksOnNode' by removing the unnecessary return statement
```
Associated with the original commit: elastic/x-pack-elasticsearch@79fd5fc5e6699b81e1c15bf33aa46ebb58630ea9

Commit Message 4:
```
Remove dead code related to frame state handling in InliningUtil

- Eliminate unused 'stateBefore' variable and associated logic, as it's not applicable to the caller graph during inlining
```

Commit Message 5:
```
Optimize marking process by using ArrayList in place of EconomicSet

- Change 'unmarkedMultiGuards' from EconomicSet to ArrayList to avoid unnecessary containment checks
```
",Refactor GraphUtil to replace EconomicSet with ArrayList for unmarkedMultiGuards,Use a list to collect unmarked MultiGuardNodes
Add COPY_TO for influencer_field_value in ElasticsearchMappings,"Commit messages based on the provided diffs:

1. For `JavaLangSubstitutions` changes:
```
Refactor static var name for null value in JavaLangSubstitutions

Renamed 'dummyNull' to 'NULL_MARKER' to clarify its usage as a marker object representing null in the ConcurrentHashMap. This change is to improve the readability of the code.
```

2. For `APIOption` and related changes:
```
Revise APIOption to use fixedValue instead of defaultValueFinal

Removed the `defaultValueFinal` attribute from the `APIOption` annotation and introduced `fixedValue` to streamline the value fixing behavior of API options. Updated `APIOptionHandler` and tests accordingly to reflect the new scheme for handling fixed values.
```

3. For `MonitoringIndexNameResolver` and test case changes:
```
Replace null return with empty set for MonitoringIndexNameResolver.filters

Changed the return value of `filters()` in `MonitoringIndexNameResolver` from `null` to `Collections.emptySet()` to avoid potential null pointer exceptions. Corresponding test cases have been updated to reflect this behavior and check collection emptiness.
```

4. For `InsertOptimizeEngineTest` changes:
```
Add test case for InsertOptimizeEngine with values and query encryption

Included a new test case `assertOptimizeWithValuesWithoutPlaceHolderWithGeneratedKeyWithQueryEncrypt` to handle insert statements with values, without placeholders, and applying query encryption. Adjusted test setup methods to accommodate the additional test scenario.
```

5. For `ElasticsearchMappings` changes:
```
Update ElasticsearchMappings to include influencer field copy_to rule

Added `COPY_TO` directive for `Influencer.INFLUENCER_FIELD_VALUE` to ensure the field value is copied to a common catch-all field for aggregated searches and analyses. Also updated the comment section to include the new `AnomalyRecord.Influencers.influencer_field_values` field in the list of exceptions for the `termFieldNames` parameter.
```

For each change, the commit message summarizes the key alteration in terms of functionality or clarification, aiming to convey the purpose of the change to fellow developers or reviewers who may be looking at the commit history.",Add copy_to for influencer_field_value in ElasticsearchMappings,"Add Influencer.influencer_field_value to custom all field (elastic/elasticsearch#624)

Original commit: elastic/x-pack-elasticsearch@5aa98d84dcdefbf26f1aaf003f28e6a27f7dfb5c"
