o_prompt1,o_prompt2,o_prompt3,references
Add check to prevent simultaneous etcd and zookeeper config in `YamlOrchestrationConfiguration`,"```plaintext
fix(YamlOrchestrationConfiguration): prevent dual registry center configuration

Throw a RuntimeException when both etcd and zookeeper are configured as registry centers to avoid configuration conflicts.
```","Add validation to prevent simultaneous configuration of etcd and zookeeper

Ensure that users cannot configure both etcd and zookeeper as registry centers concurrently, throwing a RuntimeException if such a case is encountered. This strengthens the configuration validation within the YamlOrchestrationConfiguration class.

---

It is common practice to summarize the purpose of the commit rather than just describing the technical changes. Here, the message emphasizes the addition of a validation step and its impact rather than simply stating that an if-statement was added.",Refactor orchestration yaml configuration.
"Refactor verbose logging in WebSocket08FrameDecoder

Update command flag description in ServerAdmin help output","fix(websocket): remove debug logging of UTF-8 byte arrays

fix(server-admin): clarify command option descriptions for user management","Here are the suggested commit messages for each code diff:

For `WebSocket08FrameDecoder` changes:
```
Remove unnecessary debug code in WebSocket08FrameDecoder

Commented out verbose debug logging code in the checkUTF8String method to clean up the codebase and reduce log clutter.
```

For `ServerAdmin` changes:
```
Update command line helper text in ServerAdmin

Corrected the helper text for the `-add` and `-reset` commands to use consistent flag formatting with `--p` instead of a mix of `[-p]` and `[--p]`.
```",GT-360 corrected usage text
"Refactor ResultSetModel to improve handling of multiple columns with the same name

Remove redundant leading space inclusion in QMUIQQFaceView font height calculations","feat(ResultSetModel): optimize toArray method and refine data filter update logic

fix(ResultSetViewer): ensure meta change is considered in data filter update

refactor(QMUIQQFaceView): remove redundant leading space addition in font height calculation","Commit message for `ResultSetModel` diff:

```
Optimize toArray usage and enhance data filter constraints checks

- Refactor toArray call to use zero-length array optimization
- Update updateDataFilter to accept a new parameter indicating metadata changes
- Adjust conditional in updateDataFilter for better handling of columns with identical names
- In ResultSetModel calls, add the metaChanged flag accordingly
```

Commit message for `QMUIQQFaceView` diff:

```
Remove redundant fontMetricsInt.leading adjustments in QMUIQQFaceView

- Eliminate unnecessary addition of leading to fontHeight and mFirstBaseLine when mIncludePad is true
```",remove leading
Add shuffle vector operation for I16 vectors and corresponding node generation in factory,"feat(LLVMFunctionDescriptor): ensure SULONG_FUNCTION_POINTER_TAG in handle space

feat(LLVMShuffleVectorNode, BasicNodeFactory): add shuffle operation support for I16 vectors","Add support for I16 vector shuffle and adjust handle tag for function pointers

- Add import for `com.oracle.truffle.llvm.runtime.memory.LLVMNativeMemory`
- Update `SULONG_FUNCTION_POINTER_TAG` value and assert it is within common handle space but not within deref handle space
- Introduce `LLVMShuffleI16VectorNode` implementation for I16 vector shuffle
- Include factory method for `LLVMShuffleI16VectorNode` in `BasicNodeFactory`",add LLVMShuffleI16VectorNode
"Correct testOnReturn property assignment in data source configurations

Fixed incorrect method call where isTestOnBorrow was mistakenly used for setting testOnReturn. Now correctly calls isTestOnReturn in both BasicDataSourceConfiguration and TomcatDataSourceConfiguration classes.","```
fix: correct method calls for testOnReturn property in data source configurations

Correct the copy-paste error where testOnBorrow was incorrectly used instead of testOnReturn in both BasicDataSourceConfiguration and TomcatDataSourceConfiguration classes.
```","Here are the commit messages for each code diff provided:

First code diff:
```
Refactor RedisSessionProperties and RedisSessionConfiguration method names

- Rename `getConfigurationStrategy` and `setConfigurationStrategy` to `getConfigureAction` and `setConfigureAction` to align with property naming.
- Modify associated RedisSessionConfiguration to use new method name `getConfigureAction`.
- Update corresponding tests to reflect the method name changes and clarify test method names according to action specification.
```

Second code diff:
```
Fix `setTestOnReturn` method call in datasource configurations

- Correct the copy-paste error by ensuring `setTestOnReturn` uses the `isTestOnReturn` method instead of `isTestOnBorrow` in both BasicDataSourceConfiguration and TomcatDataSourceConfiguration.
```","Fix DataSourceConfiguration isTestOnReturn()

Fix setTestOnReturn to use isTestOnReturn."
"Refactor Package class to handle the creation and addition of InputFiles separately

Related to CLEANUP-2043","feat(Package): Separate test suite rule collection and input file creation

This change optimizes the handling of test suite rules and the creation of input files, by separating the tasks and avoiding redundant input file creation. The process of collecting implicit test suites is performed independently of other rules, and a new map tracks the newly created input files to prevent duplicates. These improvements ensure that test suite rules have the correct `$implicit_tests` attribute value and contribute to a more efficient package processing workflow.

Related to #19837","Refactor Package class to optimize creation and addition of InputFiles

- Separate concerns by handling creation and addition of InputFiles in distinct methods
- Store new InputFiles temporarily before batch adding to avoid rework
- Ensure implicit test suites are updated only after all new InputFiles are added

Relates to #24329","Package perf: Avoid another copy and loop iteration. Instead, defer loop iteration over the presumably smaller set of new input files and implicit test suites.

RELNOTES: None
PiperOrigin-RevId: 248589531"
"Implement IME interactions in EventFiringWebDriver's options

PiperOrigin-RevId: 256546612","```plaintext
feat(FakeAdsRequest): remove unsupported setContinuousPlayback method

BREAKING CHANGE: The setContinuousPlayback method has been removed from the FakeAdsRequest class as it was not supported.

feat(EventFiringWebDriver): enable IME interactions in ime() method

Enable IME interactions through the ime() method by returning the appropriate handler.
```","```
Remove unsupported setContinuousPlayback method from FakeAdsRequest

This commit removes the setContinuousPlayback method from the FakeAdsRequest
class, which was previously throwing an UnsupportedOperationException. This
cleans up the FakeAdsRequest interface as part of refactoring efforts.

EventFiringWebDriver: Delegate ime() method to underlying options

The ime() method in EventFiringWebDriver's Options class now delegates to the
underlying WebDriver options' ime() method, instead of throwing an
UnsupportedOperationException. This change enables IME interactions when using
the EventFiringWebDriver.
```","Pass Options.ime() through to the wrapped driver.

It looks like the UnsupportedOperationException was added to every
implementing class of WebDriver when IME support was originally
introduced (62c3753fafe6c665c587734dc9c86a8d1ed1ecf4), but there doesn't
seem to be any reason why this shouldn't just delegate to the wrapped
driver."
Refactor method name to match camelCase convention in FizzBuzz class,refactor: standardize fizzBuzz method naming in FizzBuzz class,"Refactor method name for consistency in FizzBuzz class

```plaintext
Rename fizzbuzz method to fizzBuzz in FizzBuzz class for naming consistency
```

For the first change in `MiniClusterResource`:

```plaintext
[FLINK-18658][tests] Include RpcServiceSharing in MiniClusterResource configuration
```",Better naming convention
Refactor `GraphUtil` to use `ArrayList` instead of `EconomicSet` for `unmarkedMultiGuards` and remove unnecessary break statement.,"```
refactor: change EconomicSet to ArrayList for unmarkedMultiGuards in GraphUtil
```","Commit message for first diff:
```
Remove redundant FrameState duplication logic in InliningUtil

This commit removes the unused stateBefore variable and the associated
conditional logic in InliningUtil. The FrameState.BEFORE_BCI condition
is asserted as false and its handling code is eliminated since it is not
relevant in the context of inlining where BlockBegin is not present.
```

Commit message for second diff:
```
Refactor GraphUtil to use ArrayList for unmarkedMultiGuards

Changed the type of unmarkedMultiGuards from EconomicSet to ArrayList
to streamline the management of MultiGuardNode objects within the
markAndProcessRelevantNodes method. Additionally, removed an unnecessary
break statement that was used to exit the for-loop early, which is no
longer needed due to the change in data structure type.
```",Use a list to collect unmarked MultiGuardNodes
"Add new test case for optimizing inserts with generated keys in the query encryption scenario

Refactor ElasticsearchMappings to use nested `AnomalyRecord.Influencers` and add `copy_to` directive for `Influencer.INFLUENCER_FIELD_VALUE`","```
feat(InsertOptimizeEngineTest): add optimize method for inserts with queries and encryption
```
```
refactor(ElasticsearchMappings): update mapping for AnomalyRecord influencers
```","Commit message for `InsertOptimizeEngineTest`:

```
Add test and initialization for insert with values and no placeholders with query encryption
```

Commit message for `ElasticsearchMappings`:

```
Update field mapping and documentation for anomaly influencers in Elasticsearch
```","Add Influencer.influencer_field_value to custom all field (elastic/elasticsearch#624)

Original commit: elastic/x-pack-elasticsearch@5aa98d84dcdefbf26f1aaf003f28e6a27f7dfb5c"
