z_prompt1,z_prompt2,z_prompt3,references
"Refactor YamlOrchestrationConfiguration to prevent simultaneous etcd and zookeeper config

Introduce a validation check to prohibit concurrent etcd and zookeeper configuration in YamlOrchestrationConfiguration class.","```plaintext
fix: prevent simultaneous zookeeper and etcd configuration in YamlOrchestration

This commit introduces a validation check in the getOrchestrationConfiguration method to ensure that either zookeeper or etcd is used as a registry center, but not both concurrently, thus preventing misconfiguration that could lead to runtime exceptions or unexpected behavior. A RuntimeException is thrown if both are configured simultaneously.
```",Add check to prevent configuring both zookeeper and etcd in OrchestrationConfiguration,Refactor orchestration yaml configuration.
"Commit Message:
```
Update command help text to use clearer flag notation

- Modify the help text for the '-add' and '-reset' commands
- Change the password prompt flag from `[-p]` to `[--p]` for consistency
```","```
fix(server-admin): correct command flag format in help output

- Use long form [--p] consistently for password prompt option in help text.
```",Fix command help text to use correct option flag format,GT-360 corrected usage text
"Commit message: 

```
Remove extra leading space addition in font height calculations

- Removed conditionally adding `fontMetricsInt.leading` to `fontHeight` 
- Adjusted the `mFirstBaseLine` calculation by omitting the addition of `fontMetricsInt.leading` when `mIncludePad` is true
```

This commit message gives an overview of the changes made to the `QMUIQQFaceView` class by mentioning the specific fields that were affected and the context (related to font height calculations).","```
fix: remove extra leading space addition in QQFaceView font metrics

Correct font height calculation by excluding the inclusion of leading space when `mIncludePad` is true in QQFaceView. This refinement ensures accurate font height and baseline positioning.
```",Remove additional leading space in QQFaceView font height calculation,remove leading
"Commit Message 1:
```
Add support for 16-bit integer vector shuffling in LLVMShuffleVectorNode

This commit introduces a new node class, LLVMShuffleI16VectorNode, to the LLVMShuffleVectorNode file to enable shuffling of 16-bit integer vectors. It includes a specialization method that concatenates two 16-bit integer vectors and shuffles the result according to a provided mask vector.

```

Commit Message 2:
```
Integrate LLVMShuffleI16VectorNodeGen creation into BasicNodeFactory

Updated the BasicNodeFactory.java file to incorporate the generation of the LLVMShuffleI16VectorNode for 16-bit integer vectors. This change ensures that the shuffle node is correctly instantiated when the primitive kind of the result type is I16.

```","feat: add i16 vector shuffle operation in LLVMShuffleVectorNode

Add support for i16 vector shuffle operation, including the implementation of the LLVMShuffleI16VectorNode inner class and the corresponding factory method in BasicNodeFactory. The new node allows shuffling i16 vectors with a mask vector, effectively rearranging the elements based on mask indices.",Add support for I16 vector shuffling in LLVMShuffleVectorNode and BasicNodeFactory,add LLVMShuffleI16VectorNode
"Commit message for `BasicDataSourceConfiguration`:
```
Fix testOnReturn to use isTestOnReturn in BasicDataSourceConfiguration

The property testOnReturn was incorrectly assigned the value of isTestOnBorrow. This commit corrects this issue by setting testOnReturn to the proper method isTestOnReturn, ensuring that the return validation logic behaves as expected.
```

Commit message for `TomcatDataSourceConfiguration`:
```
Correct testOnReturn property in TomcatDataSourceConfiguration

This change fixes an incorrect method call where testOnReturn was set using isTestOnBorrow instead of isTestOnReturn. With this update, the pool configuration will properly check resources upon return to the pool.
```","```
fix: correct TestOnReturn setting in data source configurations

The method `setTestOnReturn()` now correctly uses `isTestOnReturn()` instead of `isTestOnBorrow()` for both BasicDataSourceConfiguration and TomcatDataSourceConfiguration classes.
```",Fix incorrect method call for 'setTestOnReturn' in data source configurations,"Fix DataSourceConfiguration isTestOnReturn()

Fix setTestOnReturn to use isTestOnReturn."
"Here are suitable commit messages for the described code changes:

1. Refactor Package class to streamline creating and adding implicit input files
   ```
   Refactor Package.createInputFileMaybe to return a new InputFile instead of void to avoid redundant lookup in getTargets call and streamline adding implicit input files to the package.
   ```

2. Optimize input file handling and introduce implicit test suites collection
   ```
   Optimize input file creation by using a map to avoid duplicates and collect implicit test suites in a separate list during processing for more efficient attribute updating.
   ```

3. Add input files to targets only after verifying non-duplication
   ```
   Ensure input files are added to the target collection only if they are not already present, reducing redundant entries and improving the accuracy of the input file set.
   ```

4. Update handling of ""$implicit_tests"" to support dynamic test suite generation
   ```
   Refactor handling of ""$implicit_tests"" attribute for ""test_suite"" rules to support dynamic generation of implicit test suites based on sorted tests.
   ```

Feel free to combine or adjust these messages to better fit the context or version control practices of your project.","feat: Refactor target discovery logic in Package class

- Replace direct ImmutableList copy with on-the-fly collection for target rules.
- Introduce collection for implicitly defined test suites.
- Introduce a map to track and deduplicate new input files discovered during target discovery.
- Optimize the addition of input files to package targets, ensuring no duplicates.
- Modify conditional logic for assigning `$implicit_tests` attribute to collect test suites for population in a separate loop.",Optimize package processing by streamlining input file creation and handling implicit test suites,"Package perf: Avoid another copy and loop iteration. Instead, defer loop iteration over the presumably smaller set of new input files and implicit test suites.

RELNOTES: None
PiperOrigin-RevId: 248589531"
"Commit message:

```
Implement IME interactions support in EventFiringWebDriver

- Replace unsupported operation exception with a call to options.ime() in the ime() method to enable IME interaction support.
```

Explanation: The commit reflects a change in the `EventFiringWebDriver` class where the `ime()` method previously threw an `UnsupportedOperationException`, and now it has been updated to return the result of `options.ime()`. This implies that IME interactions support has been implemented and is now supported by this driver.",feat(EventFiringWebDriver): enable IME interaction support through ime method,Refactor EventFiringWebDriver to support IME interactions,"Pass Options.ime() through to the wrapped driver.

It looks like the UnsupportedOperationException was added to every
implementing class of WebDriver when IME support was originally
introduced (62c3753fafe6c665c587734dc9c86a8d1ed1ecf4), but there doesn't
seem to be any reason why this shouldn't just delegate to the wrapped
driver."
"```
Refactor method name for clarity in FizzBuzz class

- Renamed 'fizzbuzz' method to 'fizzBuzz' to follow camelCase naming convention
```","```
refactor: rename fizzbuzz method to camelCase in FizzBuzz class
```",Fix camelCase naming inconsistency in fizzBuzz method parameter,Better naming convention
"```
Refactor unmarkedMultiGuards from EconomicSet to ArrayList

- Remove early loop termination to accumulate all unmarked multi guards

This commit changes the data structure used for `unmarkedMultiGuards` from `EconomicSet` to `ArrayList` in `GraphUtil` to better suit the workflow. Additionally, the early termination condition (`break` statement) within the loop has been removed to ensure all unmarked multi guards are accumulated in the list.
```","```
refactor(GraphUtil): switch unmarkedMultiGuards from EconomicSet to ArrayList

Remove unnecessary break statement in the marking loop.
```",Replace EconomicSet with ArrayList for unmarkedMultiGuards and remove break statement.,Use a list to collect unmarked MultiGuardNodes
"Commit messages for the given code diffs could be as follows:

1. Update Elasticsearch mapping comments to reflect new AnomalyRecord fields
```
Refine Elasticsearch Mappings comments to include AnomalyRecord influencers

This update accurately reflects the changes in AnomalyRecord class where influencers are now listed under the AnomalyRecord.Influencers class. The comment section within the ElasticsearchMappings class has been upgraded to properly document the hierarchy of the influencer field values.
```

2. Add copy_to directive to influencer_field_value in ElasticsearchMappings
```
Enhance indexing for influencer_field_value in ElasticsearchMappings

The 'influencer_field_value' field within the ElasticsearchMappings has been enhanced to copy its content to the 'all_field_values' field. This change facilitates better search capabilities across influencer-related data by aggregating values into a single searchable field.
```

Remember, a good commit message should provide context and rationale for the change, which is especially helpful when other developers (or even your future self) are reviewing the code history.","```
refactor: update ElasticsearchMappings for AnomalyRecord influencers

- Change mapping list with correct nested object reference
- Add ""copy_to"" field for Influencer.influencer_field_value
```",Update ElasticsearchMappings to include copy_to for influencer_field_value and correct influencer field name in javadoc,"Add Influencer.influencer_field_value to custom all field (elastic/elasticsearch#624)

Original commit: elastic/x-pack-elasticsearch@5aa98d84dcdefbf26f1aaf003f28e6a27f7dfb5c"
"Based on the provided diff, the following commit messages could be generated to describe the changes:

1. ""Add new version constant for 0.18.6 in Version class""
2. ""Introduce version 0.18.6 ID and corresponding Version instance""
3. ""Update Version class to include V_0_18_6 and its ID""
4. ""Extend Version class to support latest version 0.18.6""
5. ""Implement switch case entry for the new version 0.18.6""

These messages are succinct and describe the nature of the code changes; they introduce a new version ID and the corresponding Version instance, as well as updating a switch statement to handle the new version.",feat(Version): add constant for version 0.18.6,Add version 0.18.6 to Version class,add 0.18.6
"Based on the code differences you've provided, here are corresponding commit messages for each identified change:

1) Import statement added for `ObjcProvider.DEFINE`
   Commit message: `Add import for ObjcProvider.DEFINE in ExperimentalObjcLibrary`

2) Import statement added for `ObjcCommon.ResourceAttributes`
   Commit message: `Include ResourceAttributes import from ObjcCommon`

3) Added usage of `DEFINE` in `.addDefines()` call
   Commit message: `Use DEFINE constants when adding defines to ObjcProvider`

4) Added `ObjcProvider` class in `ruleConfiguredTarget` return statement
   Commit message: `Add ObjcProvider to configured target providers in ExperimentalObjcLibrary`

5) Comments added describing the `common` method & changes to the method signature from `private static` to `private`, and its implementation
   Commit message: `Refactor common method to instance-level and enhance documentation`

6) Expanded the `common` method functionality with `setResourceAttributes`, `addDefines`, `addDeps`, `addRuntimeDeps`, and `setIntermediateArtifacts`
   Commit message: `Enhance common method with additional settings for resource attributes, defines, dependencies, and intermediate artifacts`

Each of these commit messages summarizes the intent behind the code changes made in the diff provided.","```
feat(ExperimentalObjcLibrary): enhance objc support and metadata

- Import DEFINE from ObjcProvider for use in compilation.
- Add ObjcProvider to the configured target providers.
- Refactor the common method to enhance ObjcCommon construction and add comments.
- Include defines, dependencies, and runtime dependencies in ObjcCommon building process.
- Utilize new ResourceAttributes class for resource handling in ObjcCommon.
```","Refactor ExperimentalObjcLibrary with improved ObjcCommon configuration and additional providers

- Add import for DEFINE from ObjcProvider
- Import ResourceAttributes for ObjcCommon configuration
- Use defines in ObjcCommon.Builder
- Add ObjcProvider to configured target in rule implementation
- Refactor common method to ObjcCommon instance method and improve documentation","Add defines to experimental_objc_library.

--
MOS_MIGRATED_REVID=130424806"
"```
Remove deprecated version V_2_4_0 from Version class

- Deleted constant V_2_4_0_ID and corresponding Version instance V_2_4_0 to clean up deprecated version entries.
- Removed case handling for V_2_4_0_ID in the switch statement.
```","```
feat(Version): remove support for version 2.4.0

BREAKING CHANGE: Version 2.4.0 has been removed from supported versions.
```",Remove version 2.4.0 constants and handling from Version class,"Revert ""Added version 2.4.0 to Version""

This reverts commit 8c4aa75b0cc839d4c1ef77d79828f02c38d70199."
"""Refactor method call for obtaining procedure's fully qualified name""","```
fix(postgres): use getFullQualifiedSignature for procedure names in grants
```",Fix procedure name resolution in PostgreCommandGrantPrivilege,#10501 procedure/function with arguments names changed
"```
Ensure consistent UTC time zone usage in RangeQueryBuilderTest date calculations
```",fix(test): ensure UTC timezone in RangeQueryBuilderTest date calculations,Use UTC time zone for date range queries in RangeQueryBuilderTest,Tests: Using UTC time zone in RangeQueryBuilderTest to make forbidden apis checker happy
